,Unemployment Rate,Employment- Pop. Ratio,Conference Board Index,Capacity Utilization,Output Gap (using CBO),Job Openings Rate,Hard to fill,Core PCE,market core PCE,trim PCE,Core CPI,Core Chained CPI,trim CPI,core PGDP
1/1/1978,6.4,58.8,85.7,82.138,#N/A,#N/A,22,0.065204417,#N/A,5.71,0.064189189,#N/A,#N/A,#N/A
2/1/1978,6.3,58.8,88.3,82.2049,#N/A,#N/A,#N/A,0.062880024,#N/A,5.59,0.062184874,#N/A,#N/A,#N/A
3/1/1978,6.3,58.8,88.5,83.3923,#N/A,#N/A,#N/A,0.06417981,#N/A,5.56,0.063439065,#N/A,#N/A,#N/A
4/1/1978,6.1,59.2,90.3,84.3902,#N/A,#N/A,26,0.065802622,#N/A,5.73,0.064676617,#N/A,#N/A,#N/A
5/1/1978,6,59.3,93.3,84.4347,#N/A,#N/A,#N/A,0.066637427,#N/A,5.91,0.067656766,#N/A,#N/A,#N/A
6/1/1978,5.9,59.5,95.2,84.8254,#N/A,#N/A,#N/A,0.066271364,#N/A,5.93,0.070491803,#N/A,#N/A,#N/A
7/1/1978,6.2,59.3,95.7,84.4928,#N/A,#N/A,25,0.065919464,#N/A,6.01,0.073529412,#N/A,#N/A,#N/A
8/1/1978,5.9,59.4,96.9,84.6624,#N/A,#N/A,#N/A,0.066400299,#N/A,6.05,0.074796748,#N/A,#N/A,#N/A
9/1/1978,6,59.5,95.9,84.8041,#N/A,#N/A,#N/A,0.067979506,#N/A,6.24,0.079159935,#N/A,#N/A,#N/A
10/1/1978,5.8,59.7,98.8,85.1749,#N/A,#N/A,29,0.070582203,#N/A,6.56,0.08373591,#N/A,#N/A,#N/A
11/1/1978,5.9,59.8,96.3,85.677,#N/A,#N/A,#N/A,0.070754583,#N/A,6.67,0.086538462,#N/A,#N/A,#N/A
12/1/1978,6,59.8,99.1,86.0941,#N/A,#N/A,#N/A,0.069284325,#N/A,6.72,0.084529506,#N/A,#N/A,#N/A
1/1/1979,5.9,59.9,98.2,85.1141,#N/A,#N/A,26,0.068132792,#N/A,7.04,0.085714286,#N/A,#N/A,#N/A
2/1/1979,5.9,60.1,96.2,85.2387,#N/A,#N/A,#N/A,0.06742012,#N/A,7.22,0.091772152,#N/A,#N/A,#N/A
3/1/1979,5.8,60,99,85.3848,#N/A,#N/A,#N/A,0.06769171,#N/A,7.26,0.092621664,#N/A,#N/A,#N/A
4/1/1979,5.8,59.8,96.8,83.8302,#N/A,#N/A,25,0.070563905,#N/A,7.26,0.093457944,#N/A,#N/A,#N/A
5/1/1979,5.6,59.8,100.4,84.6186,#N/A,#N/A,#N/A,0.073494339,#N/A,7.35,0.094281298,#N/A,#N/A,#N/A
6/1/1979,5.7,59.9,98.4,84.5217,#N/A,#N/A,#N/A,0.073465271,#N/A,7.39,0.093415008,#N/A,#N/A,#N/A
7/1/1979,5.7,60,94.7,84.3667,#N/A,#N/A,23,0.072493225,#N/A,7.49,0.095890411,#N/A,#N/A,#N/A
8/1/1979,6,59.8,95.7,83.0931,#N/A,#N/A,#N/A,0.073802528,#N/A,7.67,0.099848714,#N/A,#N/A,#N/A
9/1/1979,5.9,60,100,83.1237,#N/A,#N/A,#N/A,0.074908877,#N/A,7.78,0.098802395,#N/A,#N/A,#N/A
10/1/1979,6,59.9,98.8,83.1952,#N/A,#N/A,24,0.074841696,#N/A,7.87,0.101040119,#N/A,#N/A,#N/A
11/1/1979,5.9,60,96.7,82.7741,#N/A,#N/A,#N/A,0.075923574,#N/A,7.87,0.10619469,#N/A,#N/A,#N/A
12/1/1979,6,60.1,95.7,82.8064,#N/A,#N/A,#N/A,0.079425333,#N/A,8.02,0.113235294,#N/A,#N/A,#N/A
1/1/1980,6.3,60,92.5,82.9382,#N/A,#N/A,21,0.082067826,#N/A,8.13,0.119883041,#N/A,#N/A,#N/A
2/1/1980,6.3,60,90.9,82.7255,#N/A,#N/A,#N/A,0.089278712,#N/A,8.33,0.120289855,#N/A,#N/A,#N/A
3/1/1980,6.3,59.7,89.1,81.9059,#N/A,#N/A,#N/A,0.093085521,#N/A,8.57,0.125,#N/A,#N/A,#N/A
4/1/1980,6.9,59.4,82.7,80.0036,#N/A,#N/A,16,0.088682258,#N/A,8.53,0.12962963,#N/A,#N/A,#N/A
5/1/1980,7.5,59.1,71.5,77.4404,#N/A,#N/A,#N/A,0.088023493,#N/A,8.53,0.132768362,#N/A,#N/A,#N/A
6/1/1980,7.6,58.9,66.6,76.0978,#N/A,#N/A,#N/A,0.089133802,#N/A,8.69,0.135854342,#N/A,#N/A,#N/A
7/1/1980,7.8,58.8,68.6,75.1965,#N/A,#N/A,14,0.091320278,#N/A,8.58,0.123611111,#N/A,#N/A,#N/A
8/1/1980,7.7,58.8,67.8,75.4815,#N/A,#N/A,#N/A,0.091974797,#N/A,8.55,0.11829436,#N/A,#N/A,#N/A
9/1/1980,7.5,58.9,72,76.4743,#N/A,#N/A,#N/A,0.09479642,#N/A,8.64,0.119891008,#N/A,#N/A,#N/A
10/1/1980,7.5,58.9,73.1,77.632,#N/A,#N/A,15,0.09579445,#N/A,8.55,0.122807018,#N/A,#N/A,#N/A
11/1/1980,7.5,59,75.1,78.8591,#N/A,#N/A,#N/A,0.097424798,#N/A,8.62,0.121333333,#N/A,#N/A,#N/A
12/1/1980,7.2,59,72.8,78.8674,#N/A,#N/A,#N/A,0.096170753,#N/A,8.62,0.121532365,#N/A,#N/A,#N/A
1/1/1981,7.5,59.1,73.5,78.3788,#N/A,#N/A,16,0.097440372,#N/A,8.57,0.113577023,#N/A,#N/A,#N/A
2/1/1981,7.4,59.2,70.1,77.7171,#N/A,#N/A,#N/A,0.094585513,#N/A,8.58,0.108667529,#N/A,#N/A,#N/A
3/1/1981,7.4,59.4,73.9,77.7517,#N/A,#N/A,#N/A,0.090556705,#N/A,8.39,0.099616858,#N/A,#N/A,#N/A
4/1/1981,7.2,59.6,76,77.9437,#N/A,#N/A,17,0.091844702,#N/A,8.48,0.094577554,#N/A,#N/A,#N/A
5/1/1981,7.5,59.5,76.2,78.1202,#N/A,#N/A,#N/A,0.090548501,#N/A,8.3,0.094763092,#N/A,#N/A,#N/A
6/1/1981,7.5,59,74.9,77.4998,#N/A,#N/A,#N/A,0.088740703,#N/A,8.05,0.093711467,#N/A,#N/A,#N/A
7/1/1981,7.2,59.1,74.7,77.4117,#N/A,#N/A,15,0.08766121,#N/A,8.08,0.111248455,#N/A,#N/A,#N/A
8/1/1981,7.4,59.1,74.4,77.2941,#N/A,#N/A,#N/A,0.08705547,#N/A,7.99,0.115621156,#N/A,#N/A,#N/A
9/1/1981,7.6,58.7,73.9,76.7101,#N/A,#N/A,#N/A,0.083969118,#N/A,7.8,0.118004866,#N/A,#N/A,#N/A
10/1/1981,7.9,58.8,72.3,75.8087,#N/A,#N/A,11,0.081524317,#N/A,7.6,0.109375,#N/A,#N/A,#N/A
11/1/1981,8.3,58.6,67.5,74.7265,#N/A,#N/A,#N/A,0.079272939,#N/A,7.39,0.102259215,#N/A,#N/A,#N/A
12/1/1981,8.5,58.2,62.5,73.31,#N/A,#N/A,#N/A,0.076705432,#N/A,7.13,0.09540636,#N/A,#N/A,#N/A
1/1/1982,8.6,58.2,59.8,71.3997,#N/A,#N/A,13,0.073924375,#N/A,6.81,0.092614302,#N/A,#N/A,#N/A
