yyyymm,date_first,ff_avg,cpi_level,corecpi_level,pce_level,corepce_level,cpi,corecpi,pce,corepce,ur,ur_ch,ur_ch_ma3,ur_yoy,nairu,outgap,capu_mfg,CFNAI,CFNAI_ma3,CFNAI_ma12,gdp,gdp_logch,gdp_logch_ma3,gdp_yoy,ip,ip_logch,ip_logch_ma3,ip_yoy,empl,empl_logch,empl_logch_ma3,empl_yoy,confb_coinc,confb_lead,confb_coinc_ch,confb_lead_ch,confb_coinc_ch_ma3,confb_lead_ch_ma3,confb_coinc_yoy,confb_lead_yoy
198301,1/1/1983,8.5,97.9,97.6,51.852,51.509,,,,,10.4,,,,6.09,-7.962752486,70.1,1.51,,,6542.677237,,,,47.7,,,,88993,,,,58.2,48.4,,,,,,
198302,2/1/1983,8.5,98,98,51.943,51.705,,,,,10.4,0,,,#N/A,-7.772334902,70,-0.71,,,6571.1,0.433480104,,,47.4,-0.630916919,,,88918,-0.084311824,,,58.1,49,-0.171821306,1.239669421,,,,
198303,3/1/1983,8.504,98.1,98.2,52.014,51.775,,,,,10.3,-0.1,,,#N/A,-7.581917319,70.6,0.89,0.563333333,,6599.646238,0.433480104,,,47.8,0.84034108,,,89090,0.193249802,0.054468989,,58.3,49.6,0.344234079,1.224489796,,,,
198304,4/1/1983,8.625,98.8,98.6,52.251,51.932,,,,,10.2,-0.1,-0.066666667,,6.08,-6.75023513,71.4,0.99,0.39,,6670.723355,1.071225591,0.646061933,,48.4,1.247417423,0.485613861,,89366,0.309320191,0.13941939,,58.6,50,0.51457976,0.806451613,0.228997511,1.09020361,,
198305,5/1/1983,8.6532,99.2,98.9,52.4,52.008,,,,,10.1,-0.1,-0.1,,#N/A,-6.239185244,72.3,1.3,1.06,,6721.1,0.752352848,0.752352848,,48.7,0.617921637,0.90189338,,89643,0.309481893,0.270683962,,58.9,50.7,0.511945392,1.4,0.456919744,1.143647136,,
198306,6/1/1983,8.8083,99.4,99.2,52.596,52.252,,,,,10.1,0,-0.066666667,,#N/A,-5.728135358,72.8,1.58,1.29,,6771.857084,0.752352848,0.858643762,,49,0.614126802,0.82648862,,90022,0.421896933,0.346899672,,59.3,51.4,0.679117148,1.380670611,0.568547433,1.195707408,,
198307,7/1/1983,9.2177,99.8,99.8,52.893,52.604,,,,,9.4,-0.7,-0.266666667,,6.07,-5.432997174,73.8,1.77,1.55,,6808.549492,0.540374058,0.681693251,,49.8,1.619468592,0.950505677,,90440,0.463256251,0.398211692,,59.6,51.9,0.505902192,0.972762646,0.565654911,1.251144419,,
198308,8/1/1983,9.4919,100.1,100.1,53.12,52.876,,,,,9.5,0.1,-0.2,,#N/A,-5.029903139,74.4,0.36,1.236666667,,6852.7,0.646363453,0.646363453,,50.3,0.999009308,1.077534901,,90132,-0.341138492,0.181338231,,59.6,52.1,0,0.385356455,0.395006447,0.912929904,,
198309,9/1/1983,9.4333,100.4,100.5,53.306,53.09,,,,,9.2,-0.3,-0.3,,#N/A,-4.626809104,75.7,2.67,1.6,,6897.136805,0.646363453,0.611033654,,51.1,1.57794201,1.398806637,,91247,1.229485272,0.450534344,,60.3,52.7,1.174496644,1.151631478,0.560132946,0.836583526,,
198310,10/1/1983,9.375,100.8,101,53.398,53.185,,,,,8.8,-0.4,-0.2,,6.06,-4.16144053,76.5,1.42,1.483333333,,6946.579204,0.714296777,0.669007894,,51.5,0.779731046,1.118894121,,91518,0.296555904,0.394967561,,60.7,53.4,0.663349917,1.328273245,0.61261552,0.955087059,,
198311,11/1/1983,9.375,101.1,101.5,53.474,53.31,,,,,8.5,-0.3,-0.333333333,,#N/A,-3.727209226,76.7,1.17,1.753333333,,6994,0.680330115,0.680330115,,51.7,0.387597384,0.915090147,,91871,0.384974492,0.637005223,,61,53.7,0.494233937,0.561797753,0.777360166,1.013900825,,
198312,12/1/1983,9.375,101.4,101.8,53.503,53.35,,,,,8.3,-0.2,-0.3,,#N/A,-3.292977921,76.9,1.44,1.343333333,1.199166667,7041.744514,0.680330115,0.691652335,,51.9,0.386100866,0.517809765,,92227,0.386751017,0.356093804,,61.4,54.3,0.655737705,1.117318436,0.60444052,1.002463144,,
198401,1/1/1984,9.375,102.1,102.5,53.734,53.525,4.290091931,5.020491803,3.629561058,3.913879128,8,-0.3,-0.266666667,-2.4,6.05,-2.922101741,78.1,1.94,1.516666667,1.235,7086.29617,0.630686233,0.663782154,8.308814782,53,2.097312338,0.957003529,11.11111111,92673,0.482423867,0.418049792,4.135156698,61.9,55,0.814332248,1.289134438,0.654767963,0.989416876,6.357388316,13.63636364
198402,2/1/1984,9.375,102.6,102.8,54.095,53.861,4.693877551,4.897959184,4.143002907,4.169809496,7.8,-0.2,-0.233333333,-2.6,#N/A,-2.519547999,78.9,1.25,1.543333333,1.398333333,7132.9,0.655508174,0.655508174,8.549557913,53.2,0.37664828,0.953353828,12.23628692,93154,0.517686961,0.462287282,4.76393981,62.2,55.5,0.484652666,0.909090909,0.651574206,1.105181261,7.056798623,13.26530612
198403,3/1/1984,9.4839,102.9,103.2,54.273,54.065,4.892966361,5.091649695,4.343061483,4.422984066,7.8,0,-0.166666667,-2.5,#N/A,-2.116994256,79.1,0.75,1.313333333,1.386666667,7179.810325,0.655508174,0.647234193,8.790836154,53.5,0.562325755,1.012095458,11.92468619,93429,0.294775193,0.431628674,4.87035582,62.4,55.6,0.321543408,0.18018018,0.540176107,0.792801843,7.032590051,12.09677419
