DATE,CPI,UGAP,UR,NAIRU,FFR
19850101,4.4878,-1.2714,7.3000,6.0286,8.1573
19850201,4.7665,-1.1714,7.2000,6.0286,8.3170
19850301,4.7481,-1.1714,7.2000,6.0286,8.3911
19850401,4.5323,-1.2775,7.3000,6.0225,8.4500
19850501,4.5149,-1.1775,7.2000,6.0225,8.0565
19850601,4.4019,-1.3775,7.4000,6.0225,7.7500
19850701,4.1905,-1.3836,7.4000,6.0164,7.7218
19850801,4.1746,-1.0836,7.1000,6.0164,7.7722
19850901,3.9698,-1.0836,7.1000,6.0164,7.9688
19851001,4.0490,-1.0899,7.1000,6.0101,8.0000
19851101,4.4173,-0.9899,7.0000,6.0101,8.0000
19851201,4.3071,-0.9899,7.0000,6.0101,7.8871
19860101,4.4818,-0.6970,6.7000,6.0030,7.7500
19860201,4.1783,-1.1970,7.2000,6.0030,7.7500
19860301,4.0703,-1.1970,7.2000,6.0030,7.3468
19860401,4.1513,-1.1032,7.1000,5.9968,7.1286
19860501,3.9522,-1.2032,7.2000,5.9968,6.7702
19860601,3.9413,-1.2032,7.2000,5.9968,6.8667
19860701,4.0219,-1.0093,7.0000,5.9907,6.5363
19860801,4.0073,-0.9093,6.9000,5.9907,6.1976
19860901,4.1818,-1.0093,7.0000,5.9907,5.8750
19861001,4.0724,-1.0153,7.0000,5.9847,5.8750
19861101,3.7804,-0.9153,6.9000,5.9847,5.8750
19861201,3.7702,-0.6153,6.6000,5.9847,5.8750
19870101,3.5746,-0.6199,6.6000,5.9801,5.9839
19870201,3.5651,-0.6199,6.6000,5.9801,6.0000
19870301,3.6444,-0.6199,6.6000,5.9801,6.0000
19870401,3.8973,-0.3268,6.3000,5.9732,6.0167
19870501,4.0672,-0.3268,6.3000,5.9732,6.5806
19870601,3.9683,-0.2268,6.2000,5.9732,6.7500
19870701,3.9543,-0.1348,6.1000,5.9652,6.6290
19870801,3.9405,-0.0348,6.0000,5.9652,6.6452
19870901,4.0140,0.0652,5.9000,5.9652,7.2188
19871001,4.1739,-0.0436,6.0000,5.9564,7.3125
19871101,4.1631,0.1564,5.8000,5.9564,6.8625
19871201,4.1523,0.2564,5.7000,5.9564,6.8125
19880101,4.3141,0.2447,5.7000,5.9447,6.7883
19880201,4.3029,0.2447,5.7000,5.9447,6.5431
19880301,4.3739,0.2447,5.7000,5.9447,6.5161
19880401,4.2626,0.5357,5.4000,5.9357,6.7500
19880501,4.2481,0.3357,5.6000,5.9357,6.9919
19880601,4.4953,0.5357,5.4000,5.9357,7.3063
19880701,4.4801,0.5275,5.4000,5.9275,7.5786
19880801,4.4650,0.3275,5.6000,5.9275,8.0141
19880901,4.6141,0.5275,5.4000,5.9275,8.1250
19881001,4.5075,0.5200,5.4000,5.9200,8.1250
19881101,4.5795,0.6200,5.3000,5.9200,8.2313
19881201,4.6512,0.6200,5.3000,5.9200,8.5464
19890101,4.6319,0.5138,5.4000,5.9138,8.9597
19890201,4.7030,0.7138,5.2000,5.9138,9.2679
19890301,4.6837,0.9138,5.0000,5.9138,9.7500
19890401,4.4971,0.7070,5.2000,5.9070,9.7500
19890501,4.5640,0.7070,5.2000,5.9070,9.7802
19890601,4.5455,0.6070,5.3000,5.9070,9.6042
19890701,4.5307,0.6998,5.2000,5.8998,9.3206
19890801,4.4355,0.6998,5.2000,5.8998,9.0625
19890901,4.1700,0.5998,5.3000,5.8998,9.0625
19891001,4.3131,0.5918,5.3000,5.8918,8.9315
19891101,4.3790,0.4918,5.4000,5.8918,8.5417
19891201,4.4444,0.4918,5.4000,5.8918,8.4032
19900101,4.4269,0.4845,5.4000,5.8845,8.2500
19900201,4.5705,0.5845,5.3000,5.8845,8.2500
19900301,4.7881,0.6845,5.2000,5.8845,8.2500
19900401,4.8513,0.4726,5.4000,5.8726,8.2500
19900501,4.7545,0.4726,5.4000,5.8726,8.2500
19900601,4.8913,0.6726,5.2000,5.8726,8.2500
19900701,5.1084,0.3576,5.5000,5.8576,8.0968
19900801,5.4826,0.1576,5.7000,5.8576,8.0000
19900901,5.5427,-0.0424,5.9000,5.8576,8.0000
19901001,5.3599,-0.0606,5.9000,5.8394,7.9758
19901101,5.2632,-0.3606,6.2000,5.8394,7.6083
19901201,5.3192,-0.4606,6.3000,5.8394,7.1935
19910101,5.6018,-0.5833,6.4000,5.8167,6.8145
19910201,5.6519,-0.7833,6.6000,5.8167,6.2500
19910301,5.2435,-0.9833,6.8000,5.8167,6.0565
19910401,5.1493,-0.9072,6.7000,5.7928,5.9917
19910501,5.1339,-1.1072,6.9000,5.7928,5.7500
19910601,4.9593,-1.1072,6.9000,5.7928,5.7500
